Organization Name,Address1,City,State,Zip Code,Borough,Neighborhood,Phone1,Fax,Website,Job Placement Services,Financial Aid Services,Contact FirstName,Contact LastName,course name,CourseDescription,Keywords,Cost Total,Cost Includes,Cost Does Not Include,Duration,Duration Unit,NumHours,Prerequisites,Max Class Size,Years Course Offered,Instructor Credentials,Delivery Method,Schedule,Is HRA,Is SBS
Medical Training Institute of New York,211 E 43rd St 2nd Fl,New York,New York,10017,Manhattan,Gramercy Park - Murray Hill,2122062554,2128048577,www.mtiofnewyork.com,,Some types of Financial Aid are provided.,Ishmeal,alarbi,Dental Assistant,PROGRAM DESCRIPTION . .MTI of New York Dental Assistant Certificate Hybrid Program provides the student with technical and practical training needed for entry level employment at dental offices. Students receive instruction in the performance of interpersonal and technical tasks  such as infection control  helping patients feel comfortable  teaching patients about good oral hygiene  and providing patient care in the specialties of dentistry (orthodontics  periodontics  etc.). Our comprehensive coursework is designed so that you will be skilled in assisting dentists in carrying out the work of delivering oral care with efficiency and quality. .,,3950.00,Classroom Hours 270.0   Lab Hours 140.0   Internship Hours 260.0   Practical Hours 30.0,,700,Hour(s),700,<p>High School Diploma/GED or Ability to Benefit Entrance Exam (Wonderlic)</p> .,15,,DDS,Classroom Training,Check with school to receive most updated schedule,No,No
Kingsborough Community College/ Office of Continuing Education,2001 ORIENTAL BLVD,BROOKLYN,New York,11235,Brooklyn,Coney Island - Sheepshead Bay,7183685832,,http://www.kingsborough.edu/continuinged/Pages/default.aspx,,Some types of Financial Aid are provided.,Toneeka,Crawford,Computer Technician A+,CareerStep's Computer Technician program will get you ready to work in a variety of information technology (IT) roles ranging from hardware and software repair  to technical support at medium or large sized companies. . .Hardware and Software +Troubleshooting  Repair  and Maintenance+ Operating Systems +Networking+ Security+ Operational Procedures .,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,2499.00,Classroom Hours 134.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,134,Hour(s),134,,,,,Web-Based,Check with school to receive most updated schedule,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $3800.
Kingsborough Community College/ Office of Continuing Education,2001 ORIENTAL BLVD,BROOKLYN,New York,11235,Brooklyn,Coney Island - Sheepshead Bay,7183685832,,http://www.kingsborough.edu/continuinged/Pages/default.aspx,,Some types of Financial Aid are provided.,Toneeka,Crawford,Phlebotomy Technician,This course provides theoretical and laboratory preparation for entry-level performance as a phlebotomist. It focuses on vascular anatomy and physiology; performance of venipuncture techniques  and additional responsibilities of phlebotomists as members of the healthcare team. . .1. Anatomy and Physiology . .2. Basic Life Support for Healthcare Providers . .3. Phlebotomy Procedure. .,Health  home  attendant  Medical  NCLEX  RN  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  care  aide  orderly  nursing,1045.00,Classroom Hours 127.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,127,Hour(s),127,<p>18 years and older</p> .,,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
Kingsborough Community College/ Office of Continuing Education,2001 ORIENTAL BLVD,BROOKLYN,New York,11235,Brooklyn,Coney Island - Sheepshead Bay,7183685832,,http://www.kingsborough.edu/continuinged/Pages/default.aspx,,Some types of Financial Aid are provided.,Toneeka,Crawford,A.S. Sports Management-Spring 2023,The Physical Education  Recreation and Recreation Therapy AS degree is designed to prepare students for occupations in athletics  sports management  or therapeutic recreation. Concentrations in Recreaton and Recreation Therapy  Teaching and Physical Education  and Sports Management provide students the opportunity to focus on specific areas of interest. A solid foundation is provided for identifying ethical standards  adaptations of services  and management strategies. Field work provides opportunity for application of skills learned. The degree is designed for transfer to baccalaureate programs.  .,,2626.00,Classroom Hours 12.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,12,Hour(s),12,<p>College Admission</p> . .<p>High School Diploma or Equivalency</p> .,,,,Classroom Training,Check with school to receive most updated schedule,No,No
ACCESS INSTITUTE,8002 KEW GARDENS RD LBBY 2,KEW GARDENS,New York,11415,Queens,Southwest Queens,7182630750,,http://accessqueens.com,,Some types of Financial Aid are provided.,Reema,Gunasingh,Pharmacy Tech I,The Pharmacy Tech I Program trains individuals for the jobs of supportive personnel for hospital and community pharmacies. This program provides assistance to the pharmacist in a variety of technical tasks involving the Distribution compounding labeling and recording of drugs. This program gives introduction to Computer Fundamentals also. To achieve certification an individual must successfully complete the course and pass the NHA certification exam. Upon completion of training student will receive a certificate of completion. . .Language (English) course cost includes (Tuition  Books  Supplies  Materials) .,Health  EMR  ehR  Pharmacy  Medical Biller  NCLEX  RN  Billing  Coding  Insurance  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  Care,2500.00,Classroom Hours 38.0   Lab Hours 38.0   Internship Hours 38.0   Practical Hours 38.0,,152,Hour(s),152,<p>GED or High School diploma</p> .,15,,MD,Classroom Training,Check with school to receive most updated schedule,Yes,No
New Technologies Information Institute,401 BROADWAY STE 903,NEW YORK,New York,10013,Manhattan,Greenwich Village - Soho,2129255722,,http://www.ntii-newyork.com,,Some types of Financial Aid are provided.,Lynn,Zhang,Database Administration and Development,Develops in-depth understanding of database concepts and terminology  emphasizing the relational databases model. Understanding the role of Structured Query Language (SQL)  data modeling and normalization of database tables. Develops the concepts and skills required to perform the duties of Database Administrator (DBA) in organizations using large relational databases. Students develop coherent plans for security  disaster recovery  backup and restore  replication and other administrative functions  including the creation and use of SQL scripts to automate administrative tasks. And Provides students with advanced concepts and hands-on practice in database administration. Topics include: creating and managing indexes  multi-user issues (locks  data integrity)  replication  data warehousing  data analysis services  advanced Data Transformation Services. Upon completion of training student will receive certificate ofcompletion This is a 16 week program  please contact provider for current schedule. .,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,2200.00,Classroom Hours 96.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,96,Hour(s),96,<p>N/A</p> .,,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
Solar One,9-03 44 Rd Ste 201,Long Island City,New York,11101,Queens,Long Island City - Astoria,6465765661,,http://www.solar1.org,,Some types of Financial Aid are provided.,Max,Levitzke,BPI Multifamily Building Operator,This 6 day intensive class provides nationally recognized certification addressing the operation and maintenance of buildings in an energy efficient and sustainable manner. This class prepares students for the BPI MFBO on-line and field tests necessary to acquire certification awarded by the Building Performance Institute. Topics include the fundamentals of high-performance buildings  heating and cooling system operations and maintenance  airflow and ventilation management  electric energy efficiency  water conservation  green cleaning  recycling and intergrated pest management. Trainees completing the course will receive a Solar One certificate of completion. .,,0.00,Classroom Hours 58.0   Lab Hours 12.0   Internship Hours 0.0   Practical Hours 0.0,,70,Hour(s),70,<p>None</p> .,20,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
Kingsborough Community College/ Office of Continuing Education,2001 ORIENTAL BLVD,BROOKLYN,New York,11235,Brooklyn,Coney Island - Sheepshead Bay,7183685832,,http://www.kingsborough.edu/continuinged/Pages/default.aspx,,Some types of Financial Aid are provided.,Toneeka,Crawford,Hemodialysis Technician,CareerStep&#39;s Hemodialysis Technician program will prepare you to provide dialysis treatment to patients  monitor vital signs  administer dialysis medications  and more. . .Effectively Work With Patients  Educating and Preparing Them  and Comforting Them During Stressful Procedures Setting Up  Monitoring  and Administering Dialysis Treatment The Organs of the Renal System and Their Basic Functions Medical Terminology  Blood Draw Procedures  and more .,,3899.00,Classroom Hours 100.0   Lab Hours 0.0   Internship Hours 256.0   Practical Hours 0.0,,356,Hour(s),356,,,,,Web-Based,Check with school to receive most updated schedule,No,No
New Technologies Information Institute,401 BROADWAY STE 903,NEW YORK,New York,10013,Manhattan,Greenwich Village - Soho,2129255722,,http://www.ntii-newyork.com,,Some types of Financial Aid are provided.,Lynn,Zhang,Customer Services and Sales,The customer is priority in today's business. In this course  we will help students acquired quality customer service skills. Our course will teach students how to provide remarkable service to customers. The students will learn how to communicate with customers internally and externally  using a professional and positive manner. . .The course will prepare students for customer related industries  while improving their communication and customer-related skills. The insights the students gain  will help them seek position as a Library Clerk  Receptionist  Information Clerk  Hospital and Clinic Office and Customer Service Representative  and all related fields. . .The course includes electronic communications  telephone skills  customer service management  customer service administration  computer applications  and the necessary skills. Upon completion of training student will recieve certificate of completion.This is a 12 week program  contact provider for current schedule .,Receptionist  Office Clerk  Executive Secretary  Administrative Assistant  microsoft  office  account  bookkeep  audit  quickbooks  bookkeeper  bookkeeping  excel  word,1300.00,Classroom Hours 72.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,72,Hour(s),72,<p>Basic computer application Skills.</p> .,,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
Continuing & Professional Education  The New School,72 5th Ave 2nd Fl,New York,New York,10011,Manhattan,Chelsea - Clinton,2122298933,212,http://cpe.newschool.edu,,Some types of Financial Aid are provided.,Jill,Corson Lake,PCDD 0202 Rhino 1,Learn 3D modeling techniques using Rhino 3D&mdash;a powerful  versatile modeling software program applicable to design fields including architecture  sculpture  and interior  furniture product  and jewelry design. Rhino is fast  intuitive  easy to learn  and compatible with many other software packages. A wide array of plug-ins enable you to perform an impressive and ever-evolving range of functions with Rhino. Projects help you learn the fundamentals of digital design along with skills such as turning digital models into physical objects using laser cutting  3D printing  and CNC milling. You develop a sense of freedom and independence using Rhino 3D that provides a foundation for further mastery of this important industry software. Basic familiarity with a PC operating system is helpful but not required. .,,1125.00,Classroom Hours 27.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,27,Hour(s),27,,18,,Master of Architecture  Columbia University in the City of New York. Co-founder of e+i Studio  a New York based architecture and design firm.,Web-Based,Check with school to receive most updated schedule,Yes,No
ACCESS INSTITUTE,8002 KEW GARDENS RD LBBY 2,KEW GARDENS,New York,11415,Queens,Southwest Queens,7182630750,,http://accessqueens.com,,Some types of Financial Aid are provided.,Reema,Gunasingh,SAP FI/CO,SAP FI stands for Financial Accounting and it is one of important modules of SAP ERP. It is used to store the financial data of an organization. SAP FI helps to analyze the financial conditions of a company in the market. It can integrate with other SAP modules like SAP SD  SAP PP  SAP MM  SAP SCM  etc. . . . .SAP Controlling (CO) is another important SAP module offered to an organization. It supports coordination  monitoring  and optimization of all the processes in an organization. SAP CO includes managing and configuring master data that covers cost and profit centers  internal orders  and other cost elements and functional areas. Course is offered in the week ends (Saturday Sunday) and on Week days Monday through Thursaday. $100 Application fee required . . .,,3800.00,Classroom Hours 15.0   Lab Hours 15.0   Internship Hours 15.0   Practical Hours 15.0,,60,Hour(s),60,<p>High Scool Diploma or GED</p> .,,,,Classroom Training,Check with school to receive most updated schedule,No,No
College of Staten Island CUNY,2800 VICTORY BLVD BLDG 2A,STATEN ISLAND,New York,10314,Staten Island,Willowbrook,7189822182,,http://www.csi.cuny.edu/continue,,Some types of Financial Aid are provided.,Continuing,Education,Call Center Manager,Today''s call centers are built around several customer success channels  and managing these centers has become increasingly complex. This course will prepare you for a role as a call center manager. You will gain the skills needed to ensure your call center operates efficiently  including employee supervision  quality assurance  and workforce management.,,3025.00,Classroom Hours 55.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,55,Hour(s),55,There are no prerequisites to take this course.,,,,Web-Based,Check with school to receive most updated schedule,No,No
Kingsborough Community College/ Office of Continuing Education,2001 ORIENTAL BLVD,BROOKLYN,New York,11235,Brooklyn,Coney Island - Sheepshead Bay,7183685832,,http://www.kingsborough.edu/continuinged/Pages/default.aspx,,Some types of Financial Aid are provided.,Toneeka,Crawford,CompTIA Certification Pro,Prepare to earn IT certifications that can lead to a virtual mountain of vertical career moves. . .Computer Technician +Network + Security .,,3999.00,Classroom Hours 290.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,290,Hour(s),290,,,,,Web-Based,Check with school to receive most updated schedule,No,No
Noble Desktop,185 MADISON AVE FL 3,NEW YORK,New York,10016,Manhattan,Gramercy Park - Murray Hill,2122264149,,http://www.nobledesktop.com,,Some types of Financial Aid are provided.,Mourad,Kattan,Data Analytics Certificate,Why Data Analysts Are Needed in Today's Workforce . .Data Analytics is a process of extracting information from raw data and generating actionable insights. It's one of the most sought-after skills in the IT (information technology) marketplace  with demand spanning across multiple sectors such as healthcare  finance  retail  real estate  education  gaming  and more. . .Data Analytics is about using data to make future decisions. It's used to help companies solve problems  such as reducing risk  improving operations  or detecting fraud. Data Analytics also places a heavy emphasis on data visualization to communicate your findings to others. . .This is an applied  project-based course which prepares students to gather  wrangle  analyze and visualize data using various tools and technologies helping business in decision-making and strategy. Students will also have opportunity to work on multiple real-world projects throughout the to advance their career in the analytics field. . .In this training you'll explore both predictive and prescriptive analytics by looking at case studies: . . . Predictive analytics use tools such as regression models or forecasting techniques to examine past data in order to predict the future outcomes. . Prescriptive analytics help optimize decision making in the presence of constraints  with such tools as Scenario Manager and Solver. . .,,4995.00,Classroom Hours 114.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,114,Hour(s),114,,,,,Classroom Training,Check with school to receive most updated schedule,No,No
Fullstack Academy  LLC,147 Prince St,Brooklyn,New York,11201,Brooklyn,Downtown - Heights - Slope,3479892999,,https://www.fullstackacademy.com/,,Some types of Financial Aid are provided.,Elle,Yeung-Mendoza,Cyber Bootcamp (Part-Time),The program is focused on teaching industry best practices  so students learn relevant cybersecurity theories and skills. Students become familiar with commonly used tools and technologies to prepare to enter various enterprise cybersecurity environments upon graduation. . .The Flex Part-Time Cyber Bootcamp is designed for individuals with a passion for learning cybersecurity but have full-time responsibilities during the week. . .Students in Flex Part-Time Cyber program should be prepared to spend at least an additional 10-12 hours per week on coursework and materials outside of dedicated class time. .,,17980.00,Classroom Hours 234.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,234,Hour(s),234,<p>To be eligible for the program  applicants must be at least 18 years old and a high school grad/GED holder by the start date of their intended cohort.</p> .,,,,Web-Based,Check with school to receive most updated schedule,No,No
ACCESS INSTITUTE,8002 KEW GARDENS RD LBBY 2,KEW GARDENS,New York,11415,Queens,Southwest Queens,7182630750,,http://accessqueens.com,,Some types of Financial Aid are provided.,Reema,Gunasingh,Concepts of Film Production,Concepts of Film Production offer Adobe Premiere  Editing and Software Usage Techniques  Screenwriting and Directing  Microphone  Description and Placement Techniques Camera Techniques  Media Business Environment  Visual Composition Audio  Computer Basics and Hardware  and Video labs. Upon completion of the training student will receive certificate of completion. . .Language (English) course cost includes ( Tuition  Books  Supplies  Materials) .,,5000.00,Classroom Hours 100.0   Lab Hours 100.0   Internship Hours 0.0   Practical Hours 100.0,,300,Hour(s),300,<p>High School Diploma or GED</p> .,12,,Bachelors Degree,Classroom Training,Check with school to receive most updated schedule,No,No
College of Staten Island CUNY,2800 VICTORY BLVD BLDG 2A,STATEN ISLAND,New York,10314,Staten Island,Willowbrook,7189822182,,http://www.csi.cuny.edu/continue,,Some types of Financial Aid are provided.,Continuing,Education,Professional Bookkeeping with QuickBooks 2019 (Software Included),QuickBooks is the most commonly used financial software tool for small business bookkeeping. If you're a small business owner who wants to take control of your company's finances  this course is for you. .QuickBooks 2019 will be provided upon enrollment. Software cost is included in the course price.,,2225.00,Classroom Hours 120.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,120,Hour(s),120,There are no prerequisites to take this course.,,,,Web-Based,Check with school to receive most updated schedule,Yes,No
